Datum (Gastag, 6:00–6:00);VHP-Index [Eurocent/kWh];VHP-Index inkl. (+2%) [Eurocent/kWh];VHP-Index inkl. (-2%) [Eurocent/kWh];RE-Preis Min. (inkl. Transportkosten) [Eurocent/kWh];RE-Preis Max. (inkl. Transportkosten) [Eurocent/kWh];Transportkostenanteil Einkauf [Eurocent/kWh];Transportkostenanteil Verkauf [Eurocent/kWh];Preis fuer neg. Ausgleichsenergie [Eurocent/kWh];Preis fuer pos. Ausgleichsenergie [Eurocent/kWh];Preis fuer neg. Ausgleichsenergie [Euro/MWh];Preis fuer pos. Ausgleichsenergie [Euro/MWh]
10.10.2015;1,8593;1,8965;1,8221;;1,9504;0,0829;;1,8221;1,9504;18,221;19,504
11.10.2015;1,866;1,9033;1,8287;;1,9504;0,0829;;1,8287;1,9504;18,287;19,504
12.10.2015;1,8943;1,9322;1,8564;;2,0554;0,0829;;1,8564;2,0554;18,564;20,554
13.10.2015;1,8819;1,9195;1,8443;1,8325;2,5475;0;0;1,8325;2,5475;18,325;25,475
14.10.2015;1,8776;1,9152;1,84;;1,9254;0,0829;;1,84;1,9254;18,4;19,254
15.10.2015;1,8642;1,9015;1,8269;;1,91;;;1,8269;1,91;18,269;19,1
16.10.2015;1,8616;1,8988;1,8244;;;;;1,8244;1,8988;18,244;18,988
17.10.2015;1,818;1,8544;1,7816;1,6175;;;;1,6175;1,8544;16,175;18,544
18.10.2015;1,8155;1,8518;1,7792;1,6575;;;0;1,6575;1,8518;16,575;18,518
19.10.2015;1,8324;1,869;1,7958;;2,01;;;1,7958;2,01;17,958;20,1
20.10.2015;1,8741;1,9116;1,8366;1,6525;;;;1,6525;1,9116;16,525;19,116
21.10.2015;1,8567;1,8938;1,8196;;;;;1,8196;1,8938;18,196;18,938
22.10.2015;1,8279;1,8645;1,7913;;;;;1,7913;1,8645;17,913;18,645
23.10.2015;1,8198;1,8562;1,7834;;;;;1,7834;1,8562;17,834;18,562
24.10.2015;1,8059;1,842;1,7698;;;;;1,7698;1,842;17,698;18,42
25.10.2015;1,8085;1,8447;1,7723;;1,9279;0,0829;;1,7723;1,9279;17,723;19,279
26.10.2015;1,8282;1,8648;1,7916;;1,9329;0,0829;;1,7916;1,9329;17,916;19,329
27.10.2015;1,8153;1,8516;1,779;;;;;1,779;1,8516;17,79;18,516
28.10.2015;1,8269;1,8634;1,7904;;1,92;0;;1,7904;1,92;17,904;19,2
29.10.2015;1,8442;1,8811;1,8073;;2,4925;0;;1,8073;2,4925;18,073;24,925
30.10.2015;1,8344;1,8711;1,7977;;1,9154;0,0829;;1,7977;1,9154;17,977;19,154
31.10.2015;1,7815;1,8171;1,7459;;1,8579;0,0829;;1,7459;1,8579;17,459;18,579
01.11.2015;1,7809;1,8165;1,7453;0;1,8529;0,0829;0;1,7453;1,8529;17,453;18,529
02.11.2015;1,7997;1,8357;1,7637;0;1,8975;0;0;1,7637;1,8975;17,637;18,975
03.11.2015;1,8102;1,8464;1,774;0;1,925;0;0;1,774;1,925;17,74;19,25
04.11.2015;1,7924;1,8282;1,7566;0;1,8654;0,0829;0;1,7566;1,8654;17,566;18,654
05.11.2015;1,7839;1,8196;1,7482;0;1,8504;0,0829;0;1,7482;1,8504;17,482;18,504
06.11.2015;1,7194;1,7538;1,685;0;1,8204;0,0829;0;1,685;1,8204;16,85;18,204
07.11.2015;1,7007;1,7347;1,6667;0;0;0;0;1,6667;1,7347;16,667;17,347
08.11.2015;1,7006;1,7346;1,6666;0;1,8129;0,0829;0;1,6666;1,8129;16,666;18,129
09.11.2015;1,7138;1,7481;1,6795;0;1,8129;0,0829;0;1,6795;1,8129;16,795;18,129
10.11.2015;1,6976;1,7316;1,6636;0;1,8029;0,0829;0;1,6636;1,8029;16,636;18,029
11.11.2015;1,7013;1,7353;1,6673;0;1,7879;0,0829;0;1,6673;1,7879;16,673;17,879
12.11.2015;1,6879;1,7217;1,6541;0;1,7925;0;0;1,6541;1,7925;16,541;17,925
13.11.2015;1,6635;1,6968;1,6302;0;1,7529;0,0829;0;1,6302;1,7529;16,302;17,529
14.11.2015;1,6846;1,7183;1,6509;0;2;0;0;1,6509;2;16,509;20
15.11.2015;1,6556;1,6887;1,6225;0;1,81;0;0;1,6225;1,81;16,225;18,1
16.11.2015;1,6607;1,6939;1,6275;0;1,7429;0,0829;0;1,6275;1,7429;16,275;17,429
17.11.2015;1,6947;1,7286;1,6608;0;1,7929;0,0829;0;1,6608;1,7929;16,608;17,929
18.11.2015;1,7121;1,7463;1,6779;0;2,4975;0;0;1,6779;2,4975;16,779;24,975
19.11.2015;1,7123;1,7465;1,6781;0;1,9;0;0;1,6781;1,9;16,781;19
20.11.2015;1,7652;1,8005;1,7299;0;1,8504;0,0829;0;1,7299;1,8504;17,299;18,504
21.11.2015;1,782;1,8176;1,7464;0;1,95;0;0;1,7464;1,95;17,464;19,5
22.11.2015;1,7778;1,8134;1,7422;0;1,84;0;0;1,7422;1,84;17,422;18,4
23.11.2015;1,7903;1,8261;1,7545;0;1,84;0;0;1,7545;1,84;17,545;18,4
24.11.2015;1,7713;1,8067;1,7359;0;0;0;0;1,7359;1,8067;17,359;18,067
25.11.2015;1,7847;1,8204;1,749;0;0;0;0;1,749;1,8204;17,49;18,204
26.11.2015;1,7747;1,8102;1,7392;1,645;1,8475;0;0;1,645;1,8475;16,45;18,475
27.11.2015;1,8042;1,8403;1,7681;0;1,8829;0,0829;0;1,7681;1,8829;17,681;18,829
28.11.2015;1,7752;1,8107;1,7397;0;1,9425;0;0;1,7397;1,9425;17,397;19,425
29.11.2015;1,777;1,8125;1,7415;0;1,8829;0,0829;0;1,7415;1,8829;17,415;18,829
30.11.2015;1,7997;1,8357;1,7637;0;2,2675;0;0;1,7637;2,2675;17,637;22,675
01.12.2015;1,7996;1,8356;1,7636;;1,9219;0,1069;;1,7636;1,9219;17,636;19,219
02.12.2015;1,7857;1,8214;1,75;;1,9369;0,1069;;1,75;1,9369;17,5;19,369
03.12.2015;1,7914;1,8272;1,7556;;1,8875;;;1,7556;1,8875;17,556;18,875
04.12.2015;1,7419;1,7767;1,7071;;1,8469;0,1069;;1,7071;1,8469;17,071;18,469
05.12.2015;1,7387;1,7735;1,7039;;2,3875;0;;1,7039;2,3875;17,039;23,875
06.12.2015;1,7385;1,7733;1,7037;;1,9569;0,1069;;1,7037;1,8569;17,037;18,569
07.12.2015;1,73;1,7646;1,6954;;1,8375;;;1,6954;1,8375;16,954;18,375
08.12.2015;1,7048;1,7389;1,6707;;1,77;0;;1,6707;1,77;16,707;17,7
09.12.2015;1,6922;1,726;1,6584;;1,7819;0,1069;;1,6584;1,7819;16,584;17,819
10.12.2015;1,7019;1,7359;1,6679;;1,8475;0;;1,6679;1,8475;16,679;18,475
11.12.2015;1,6846;1,7183;1,6509;;1,7569;0,1069;;1,6509;1,7569;16,509;17,569
12.12.2015;1,656;1,6891;1,6229;;1,74;;;1,6229;1,74;16,229;17,4
13.12.2015;1,6492;1,6822;1,6162;;1,72;;;1,6162;1,72;16,162;17,2
14.12.2015;1,6689;1,7023;1,6355;;1,8975;0;;1,6355;1,8975;16,355;18,975
15.12.2015;1,6287;1,6613;1,5961;;1,685;;;1,5961;1,685;15,961;16,85
16.12.2015;1,633;1,6657;1,6003;;;;;1,6003;1,6657;16,003;16,657
17.12.2015;1,4629;1,4922;1,4336;0,48;;;0;0,48;1,4922;4,8;14,922
18.12.2015;1,47;1,4994;1,4406;1,3275;1,7875;0;;1,3275;1,7875;13,275;17,875
19.12.2015;1,4863;1,516;1,4566;;;;;1,4566;1,516;14,566;15,16
20.12.2015;1,4874;1,5171;1,4577;;1,56;;;1,4577;1,56;14,577;15,6
21.12.2015;1,4994;1,5294;1,4694;;1,595;0;;1,4694;1,595;14,694;15,95
22.12.2015;1,4913;1,5211;1,4615;;1,5769;0,1069;;1,4615;1,5769;14,615;15,769
23.12.2015;1,4635;1,4928;1,4342;;1,5;;;1,4342;1,5;14,342;15
24.12.2015;1,423;1,4515;1,3945;;1,5475;0;;1,3945;1,5475;13,945;15,475
25.12.2015;1,3838;1,4115;1,3561;;1,64;;;1,3561;1,64;13,561;16,4
26.12.2015;1,3774;1,4049;1,3499;;;;;1,3499;1,4049;13,499;14,049
27.12.2015;1,3888;1,4166;1,361;;1,5425;0;;1,361;1,5425;13,61;15,425
28.12.2015;1,4013;1,4293;1,3733;;1,535;0;;1,3733;1,535;13,733;15,35
29.12.2015;1,4707;1,5001;1,4413;;1,5925;;;1,4413;1,5925;14,413;15,925
30.12.2015;1,5375;1,5683;1,5068;;1,6825;;;1,5068;1,6825;15,068;16,825
31.12.2015;1,5346;1,5653;1,5039;;1,695;;;1,5039;1,695;15,039;16,95
01.01.2016;1,5057;1,5358;1,4756;0;0;0;0;1,4756;1,5358;14,756;15,358
02.01.2016;1,5213;1,5517;1,4909;;1,6;0;;1,4909;1,6;14,909;16
03.01.2016;1,5493;1,5803;1,5183;;2,075;0;;1,5183;2,075;15,183;20,75
04.01.2016;1,6078;1,64;1,5756;;1,8475;0;;1,5756;1,8475;15,756;18,475
05.01.2016;1,5711;1,6025;1,5397;;1,7675;0;;1,5397;1,7675;15,397;17,675
06.01.2016;1,5413;1,5721;1,5105;;1,6079;0,1129;;1,5105;1,6079;15,105;16,079
07.01.2016;1,5676;1,599;1,5362;;1,6129;0,1129;;1,5362;1,6129;15,362;16,129
08.01.2016;1,5523;1,5833;1,5213;1,435;1,6654;0,1129;0;1,435;1,6654;14,35;16,654
09.01.2016;1,5066;1,5367;1,4765;1,425;;;;1,425;1,5367;14,25;15,367
10.01.2016;1,5066;1,5367;1,4765;;;;;1,4765;1,5367;14,765;15,367
11.01.2016;1,5148;1,5451;1,4845;;;;;1,4845;1,5451;14,845;15,451
12.01.2016;1,5041;1,5342;1,474;1,375;1,5804;0,1129;0;1,375;1,5804;13,75;15,804
13.01.2016;1,4434;1,4723;1,4145;1,365;;;0;1,365;1,4723;13,65;14,723
14.01.2016;1,4664;1,4957;1,4371;;1,5479;0,1129;;1,4371;1,5479;14,371;15,479
15.01.2016;1,437;1,4657;1,4083;;1,5329;0,1129;;1,4083;1,5329;14,083;15,329
16.01.2016;1,3919;1,4197;1,3641;;;;;1,3641;1,4197;13,641;14,197
17.01.2016;1,4059;1,434;1,3778;;1,5079;0,1129;;1,3778;1,5079;13,778;15,079
18.01.2016;1,4147;1,443;1,3864;;1,443;0,1129;;1,3864;1,443;13,864;14,43
19.01.2016;1,3921;1,4199;1,3643;;1,4579;0,1129;;1,3643;1,4579;13,643;14,579
20.01.2016;1,4128;1,4411;1,3845;;1,4829;0,1129;;1,3845;1,4829;13,845;14,829
21.01.2016;1,3608;1,388;1,3336;;1,4304;0,1129;;1,3336;1,4304;13,336;14,304
22.01.2016;1,3322;1,3588;1,3056;;1,7975;0;;1,3056;1,7975;13,056;17,975
23.01.2016;1,3721;1,3995;1,3447;1,265;1,55;;0;1,265;1,55;12,65;15,5
24.01.2016;1,3438;1,3707;1,3169;0,9;;;0;0,9;1,3707;9;13,707
25.01.2016;1,3363;1,363;1,3096;1,2;;;0;1,2;1,363;12;13,63
26.01.2016;1,287;1,3127;1,2613;1,2;;;;1,2;1,3127;12;13,127
27.01.2016;1,3176;1,344;1,2912;1,2725;1,795;0;;1,2725;1,795;12,725;17,95
28.01.2016;1,34;1,3668;1,3132;;1,5079;0,1129;;1,3132;1,5079;13,132;15,079
29.01.2016;1,4264;1,4549;1,3979;;1,895;0;;1,3979;1,895;13,979;18,95
30.01.2016;1,3441;1,371;1,3172;;1,6575;0;;1,3172;1,6575;13,172;16,575
31.01.2016;1,3974;1,4253;1,3695;;1,66;0;;1,3695;1,66;13,695;16,6
01.02.2016;1,3602;1,3874;1,333;0;1,55;0;0;1,333;1,55;13,33;15,5
02.02.2016;1,3203;1,3467;1,2939;;1,4129;0,1129;;1,2939;1,4129;12,939;14,129
03.02.2016;1,3478;1,3748;1,3208;;1,585;0;;1,3208;1,585;13,208;15,85
04.02.2016;1,3608;1,388;1,3336;;1,5975;0;;1,3336;1,5975;13,336;15,975
05.02.2016;1,3071;1,3332;1,281;;1,415;0;;1,281;1,415;12,81;14,15
06.02.2016;1,2586;1,2838;1,2334;;1,3425;;;1,2334;1,3425;12,334;13,425
07.02.2016;1,2496;1,2746;1,2246;;;;;1,2246;1,2746;12,246;12,746
08.02.2016;1,2926;1,3185;1,2667;;1,5;0;;1,2667;1,5;12,667;15
09.02.2016;1,3092;1,3354;1,283;;1,5925;0;;1,283;1,5925;12,83;15,925
10.02.2016;1,2658;1,2911;1,2405;;1,35;0;;1,2405;1,35;12,405;13,5
11.02.2016;1,2653;1,2906;1,24;;1,545;0,1129;;1,24;1,545;12,4;15,45
12.02.2016;1,2437;1,2686;1,2188;;;;;1,2188;1,2686;12,188;12,686
13.02.2016;1,2661;1,2914;1,2408;;1,35;;;1,2408;1,35;12,408;13,5
14.02.2016;1,2607;1,2859;1,2355;;1,46;;;1,2355;1,46;12,355;14,6
15.02.2016;1,2821;1,3077;1,2565;;1,6;;;1,2565;1,6;12,565;16
16.02.2016;1,2864;1,3121;1,2607;;1,4104;0,1129;;1,2607;1,4104;12,607;14,104
17.02.2016;1,2887;1,3145;1,2629;;;;;1,2629;1,3145;12,629;13,145
18.02.2016;1,2677;1,2931;1,2423;1,2;;;0;1,2;1,2931;12;12,931
19.02.2016;1,2704;1,2958;1,245;1,21;;;;1,21;1,2958;12,1;12,958
20.02.2016;1,2499;1,2749;1,2249;;;;;1,2249;1,2749;12,249;12,749
21.02.2016;1,2374;1,2621;1,2127;;1,3304;0,1129;;1,2127;1,3304;12,127;13,304
22.02.2016;1,2437;1,2686;1,2188;;1,3479;0,1129;;1,2188;1,3479;12,188;13,479
23.02.2016;1,2828;1,3085;1,2571;;1,42;0;;1,2571;1,42;12,571;14,2
24.02.2016;1,2952;1,3211;1,2693;;1,4475;0;;1,2693;1,4475;12,693;14,475
25.02.2016;1,244;1,2689;1,2191;;1,3504;0,1129;;1,2191;1,3504;12,191;13,504
26.02.2016;1,262;1,2872;1,2368;;1,3504;0,1129;;1,2368;1,3504;12,368;13,504
27.02.2016;1,2658;1,2911;1,2405;;1,3604;0,1129;;1,2405;1,3604;12,405;13,604
28.02.2016;1,2526;1,2777;1,2275;1,2;;;0;1,2;1,2777;12;12,777
29.02.2016;1,2863;1,312;1,2606;;1,48;0,1129;;1,2606;1,48;12,606;14,8
01.03.2016;1,2861;1,3118;1,2604;;1,58;;;1,2604;1,58;12,604;15,8
02.03.2016;1,2873;1,313;1,2616;1,15;;;0;1,15;1,313;11,5;13,13
03.03.2016;1,2887;1,3145;1,2629;1,2;;;;1,2;1,3145;12;13,145
04.03.2016;1,2768;1,3023;1,2513;;;;;1,2513;1,3023;12,513;13,023
05.03.2016;1,2539;1,279;1,2288;;1,3364;0,0889;;1,2288;1,3364;12,288;13,364
06.03.2016;1,2489;1,2739;1,2239;1,1775;;;0;1,1775;1,2739;11,775;12,739
07.03.2016;1,2594;1,2846;1,2342;1,15;;;0;1,15;1,2846;11,5;12,846
08.03.2016;1,2607;1,2859;1,2355;;;;;1,2355;1,2859;12,355;12,859
09.03.2016;1,2598;1,285;1,2346;1,175;;;;1,175;1,285;11,75;12,85
10.03.2016;1,2591;1,2843;1,2339;1,21;;;;1,21;1,2843;12,1;12,843
11.03.2016;1,2466;1,2715;1,2217;1,1525;;;;1,1525;1,2715;11,525;12,715
12.03.2016;1,2423;1,2671;1,2175;1,1825;;;;1,1825;1,2671;11,825;12,671
13.03.2016;1,2458;1,2707;1,2209;;;;;1,2209;1,2707;12,209;12,707
14.03.2016;1,2594;1,2846;1,2342;;;;;1,2342;1,2846;12,342;12,846
15.03.2016;1,2643;1,2896;1,239;1,16;1,3239;0,0889;;1,16;1,3239;11,6;13,239
16.03.2016;1,2612;1,2864;1,236;;;;;1,236;1,2864;12,36;12,864
17.03.2016;1,2235;1,248;1,199;1,11;;;0;1,11;1,248;11,1;12,48
18.03.2016;1,2363;1,261;1,2116;1,1875;0;0;0;1,1875;1,261;11,875;12,61
19.03.2016;1,2429;1,2678;1,218;1,1975;0;0;0;1,1975;1,2678;11,975;12,678
20.03.2016;1,2406;1,2654;1,2158;0;0;0;0;1,2158;1,2654;12,158;12,654
21.03.2016;1,2535;1,2786;1,2284;0;0;0;0;1,2284;1,2786;12,284;12,786
22.03.2016;1,2265;1,251;1,202;0;0;0;0;1,202;1,251;12,02;12,51
23.03.2016;1,23;1,2546;1,2054;0;0;0;0;1,2054;1,2546;12,054;12,546
24.03.2016;1,226;1,2505;1,2015;0;0;0;0;1,2015;1,2505;12,015;12,505
25.03.2016;1,2026;1,2267;1,1785;0;1,3364;0,0889;0;1,1785;1,3364;11,785;13,364
26.03.2016;1,1825;1,2062;1,1589;1,0025;0;0;0;1,0025;1,2062;10,025;12,062
27.03.2016;1,1831;1,2068;1,1594;0,91;0;0;0;0,91;1,2068;9,1;12,068
28.03.2016;1,1922;1,216;1,1684;1,0225;1,3;0;0;1,0225;1,3;10,225;13
29.03.2016;1,2223;1,2467;1,1979;0;1,32;0;0;1,1979;1,32;11,979;13,2
30.03.2016;1,2261;1,2506;1,2016;0;1,295;0;0;1,2016;1,295;12,016;12,95
31.03.2016;1,2326;1,2573;1,2079;0;0;0;0;1,2079;1,2573;12,079;12,573
01.04.2016;1,2274;1,2519;1,2029;;;;;1,2029;1,2519;12,029;12,519
02.04.2016;1,1931;1,217;1,1692;;;;;1,1692;1,217;11,692;12,17
03.04.2016;1,1755;1,199;1,152;1;;;0;1;1,199;10;11,99
04.04.2016;1,1609;1,1841;1,1377;1,025;;;;1,025;1,1841;10,25;11,841
05.04.2016;1,1625;1,1858;1,1393;1,0825;1,3975;0;;1,0825;1,3975;10,825;13,975
06.04.2016;1,1616;1,1848;1,1384;;1,3475;0;;1,1384;1,3475;11,384;13,475
07.04.2016;1,1559;1,179;1,1328;;;;;1,1328;1,179;11,328;11,79
08.04.2016;1,1492;1,1722;1,1262;;1,2339;0,0839;;1,1262;1,2339;11,262;12,339
09.04.2016;1,1385;1,1613;1,1157;;1,2075;;;1,1157;1,2075;11,157;12,075
10.04.2016;1,1206;1,143;1,0982;1,015;1,2039;0,0839;0;1,015;1,2039;10,15;12,039
11.04.2016;1,1353;1,158;1,1126;;;;;1,1126;1,158;11,126;11,58
12.04.2016;1,14;1,1628;1,1172;;1,2089;0,0839;;1,1172;1,2089;11,172;12,089
13.04.2016;1,1512;1,1742;1,1282;;1,195;;;1,1282;1,195;11,282;11,95
14.04.2016;1,1472;1,1701;1,1243;1,085;1,2439;0,0839;;1,085;1,2439;10,85;12,439
15.04.2016;1,155;1,1781;1,1319;;1,2439;0,0839;;1,1319;1,2439;11,319;12,439
16.04.2016;1,1566;1,1797;1,1335;;1,1925;;;1,1335;1,1925;11,335;11,925
17.04.2016;1,1602;1,1834;1,137;;1,2364;0,0839;;1,137;1,2364;11,37;12,364
18.04.2016;1,1874;1,2111;1,1637;;1,2625;0;;1,1637;1,2625;11,637;12,625
19.04.2016;1,1762;1,1997;1,1527;;1,2639;0,0839;;1,1527;1,2639;11,527;12,639
20.04.2016;1,1985;1,2225;1,1745;;1,2814;0,0839;;1,1745;1,2814;11,745;12,814
21.04.2016;1,2184;1,2428;1,194;;;;;1,194;1,2428;11,94;12,428
22.04.2016;1,269;1,2944;1,2436;;;;;1,2436;1,2944;12,436;12,944
23.04.2016;1,2984;1,3244;1,2724;1,2125;;;;1,2125;1,3244;12,125;13,244
24.04.2016;1,3096;1,3358;1,2834;;;;;1,2834;1,3358;12,834;13,358
25.04.2016;1,3292;1,3558;1,3026;1,335;;;;1,3026;1,3558;13,026;13,558
26.04.2016;1,3748;1,4023;1,3473;;;;;1,3473;1,4023;13,473;14,023
27.04.2016;1,4408;1,4696;1,412;1,34;1,5339;0,0839;0;1,34;1,5339;13,4;15,339
28.04.2016;1,4618;1,491;1,4326;1,3775;;;;1,3775;1,491;13,775;14,91
29.04.2016;1,3238;1,3503;1,2973;1,0175;1,3989;0,0839;0;1,0175;1,3989;10,175;13,989
30.04.2016;1,3049;1,331;1,2788;0,5575;;;0;0,5575;1,331;5,575;13,31
01.05.2016;1,2827;1,3084;1,257;1,06;0;0;0;1,06;1,3084;10,6;13,084
02.05.2016;1,2978;1,3238;1,2718;1,1;0;0;0;1,1;1,3238;11;13,238
03.05.2016;1,2717;1,2971;1,2463;1,1;0;0;0;1,1;1,2971;11;12,971
04.05.2016;1,2345;1,2592;1,2098;0;0;0;0;1,2098;1,2592;12,098;12,592
05.05.2016;1,241;1,2658;1,2162;1,18;0;0;0;1,18;1,2658;11,8;12,658
06.05.2016;1,257;1,2821;1,2319;1,05;0;0;0;1,05;1,2821;10,5;12,821
07.05.2016;1,2518;1,2768;1,2268;1,0625;0;0;0;1,0625;1,2768;10,625;12,768
08.05.2016;1,263;1,2883;1,2377;1,1;0;0;0;1,1;1,2883;11;12,883
09.05.2016;1,2525;1,2776;1,2275;1,1;0;0;0;1,1;1,2776;11;12,776
10.05.2016;1,3075;1,3337;1,2814;1,16;0;0;0;1,16;1,3337;11,6;13,337
11.05.2016;1,2752;1,3007;1,2497;1,165;0;0;0;1,165;1,3007;11,65;13,007
12.05.2016;1,2913;1,3171;1,2655;0;0;0;0;1,2655;1,3171;12,655;13,171
